DISTRICT,Horses/Asses,MILKING  COWS NO.,MILKING  BUFFALOES NO.,COW MILK,BUFF MILK,TOTAL MILK PRODUCED,BUFF,MUTTON,CHEVON,PORK ,CHICKEN,DUCK MEAT,TOTAL MEAT,AREA (Ha.),PROD. (Mt.),YIELD Kg/Ha,LAYING HEN,LAYING DUCK,HEN EGG,DUCK EGG,TOTAL EGG,Rabbit,SHEEPS NO.,SHEEP WOOL PRODUCED,YAK/NAK/CHAURI
ACHHAM,95,5796,10381,3321.0,9010.0,12331.0,1329.0,10.0,710.0,6.0,47.0,0.0,2102.0,0.0,0.0,0.0,12096,143,1905,9,1914,0,3085,2400.0,0
ARGHAKHANCHI,17,6219,27698,3805.0,25232.0,29037.0,3246.0,2.0,638.0,42.0,303.0,0.0,4231.0,0.0,0.0,0.0,77924,118,7289,7,7296,152,496,369.0,0
BAGLUNG,1250,8950,22929,5128.0,18093.0,23221.0,2124.0,19.0,578.0,109.0,297.0,1.0,3128.0,0.0,0.0,0.0,57523,1370,2199,104,2303,120,6851,5090.0,0
BAITADI,484,9845,12699,4641.0,10184.0,14825.0,1727.0,1.0,730.0,12.0,14.0,0.0,2484.0,0.0,0.0,0.0,3509,107,594,6,600,0,304,225.0,0
BAJHANG,724,15936,9679,4600.0,4149.0,8749.0,1208.0,89.0,572.0,34.0,40.0,0.0,1943.0,0.0,0.0,0.0,8917,188,985,14,999,148,26452,19653.0,381
BAJURA,1262,12019,5534,4887.0,4801.0,9688.0,708.0,66.0,451.0,26.0,38.0,0.0,1289.0,0.0,0.0,0.0,9844,198,852,15,867,285,19672,14616.0,89
BANKE,3963,14060,36201,8956.0,31062.0,40018.0,3256.0,42.0,1652.0,620.0,785.0,1.0,6356.0,27.0,41.0,1519.0,194508,858,13063,65,13128,0,11609,8625.0,0
BARA,305,18771,39650,11952.0,22738.0,34690.0,4076.0,1.0,1205.0,356.0,945.0,10.0,6593.0,0.0,0.0,0.0,242429,8244,9955,627,10582,65,336,249.0,0
BARDIYA,559,15932,27931,10792.0,27784.0,38576.0,3405.0,35.0,1758.0,610.0,474.0,1.0,6283.0,10.0,12.0,1200.0,123536,1214,15457,92,15549,0,13025,9677.0,0
BHAKTAPUR,0,3402,2164,3402.0,4494.0,7896.0,1013.0,9.0,175.0,212.0,647.0,3.0,2059.0,0.0,0.0,0.0,385908,2722,40781,214,40995,0,2588,1922.0,0
BHOJPUR,168,14103,16342,7324.0,14184.0,21508.0,1251.0,51.0,313.0,919.0,251.0,2.0,2787.0,0.0,0.0,0.0,53957,1136,4037,88,4125,42,18210,13530.0,887
CHITWAN,15,14934,18166,14947.0,30230.0,45177.0,5550.0,13.0,1769.0,598.0,9810.0,13.0,17753.0,0.0,0.0,0.0,2751238,2006,411901,274,412175,0,3900,2897.0,0
DADELDHURA,241,13963,6108,7045.0,5301.0,12346.0,1011.0,1.0,823.0,29.0,70.0,0.0,1934.0,0.0,0.0,0.0,10131,205,1596,17,1613,0,315,234.0,0
DAILEKH,154,9438,24351,5408.0,13942.0,19350.0,2145.0,50.0,578.0,142.0,167.0,0.0,3082.0,0.0,0.0,0.0,43020,313,6776,26,6802,1256,14774,10977.0,0
DANG,317,18630,31882,9984.0,18043.0,28027.0,3507.0,115.0,3352.0,679.0,1604.0,4.0,9261.0,106.0,74.0,700.0,411349,3223,54787,260,55047,0,34091,25329.0,0
DARCHULA,753,9682,8560,4548.0,7430.0,11978.0,768.0,68.0,437.0,9.0,31.0,0.0,1313.0,0.0,0.0,0.0,6723,101,778,6,784,522,22861,16985.0,422
DHADING,0,24068,36469,13791.0,24416.0,38207.0,3105.0,16.0,314.0,415.0,2965.0,4.0,6819.0,0.0,0.0,0.0,604699,3576,28205,272,28477,1050,8807,6543.0,190
DHANKUTA,0,12523,5391,8176.0,4579.0,12755.0,1521.0,2.0,405.0,462.0,471.0,2.0,2863.0,0.0,0.0,0.0,120878,1400,1878,109,1987,213,577,324.0,0
DHANUSHA,0,19150,17700,14056.0,22710.0,36766.0,2538.0,2.0,1566.0,95.0,514.0,6.0,4721.0,0.0,0.0,0.0,103976,3885,8650,295,8945,0,650,482.0,0
DOLAKHA,0,12344,13805,5544.0,10155.0,15699.0,1704.0,40.0,576.0,117.0,210.0,2.0,2649.0,0.0,0.0,0.0,67464,1964,8040,155,8195,0,11809,8774.0,5053
DOLPA,4115,2043,713,1100.0,514.0,1614.0,74.0,112.0,270.0,2.0,7.0,0.0,465.0,0.0,0.0,0.0,1706,33,269,2,271,223,33343,24773.0,6850
DOTI,252,15432,10381,7843.0,9010.0,16853.0,1625.0,2.0,840.0,40.0,106.0,0.0,2613.0,0.0,0.0,0.0,22999,80,3622,7,3629,432,662,491.0,0
GORKHA,854,14927,17250,7653.0,10468.0,18121.0,3147.0,100.0,815.0,197.0,691.0,1.0,4951.0,0.0,0.0,0.0,78538,425,4598,32,4630,48,29760,22111.0,4636
GULMI,54,6860,11742,4346.0,11233.0,15579.0,1446.0,23.0,821.0,160.0,273.0,0.0,2723.0,0.0,0.0,0.0,33577,266,3837,20,3857,331,6942,5157.0,0
HUMLA,4523,1677,496,961.0,421.0,1382.0,64.0,96.0,125.0,2.0,10.0,0.0,297.0,0.0,0.0,0.0,2835,40,446,2,448,524,28642,21281.0,7698
ILLAM,2815,26821,5759,19735.0,15261.0,34996.0,1974.0,1.0,870.0,416.0,104.0,0.0,3365.0,0.0,0.0,0.0,26781,332,6656,27,6683,240,160,118.0,165
JAJARKOT,6021,5869,9102,3002.0,8763.0,11765.0,975.0,83.0,617.0,47.0,203.0,0.0,1925.0,0.0,0.0,0.0,14589,91,2298,5,2303,1097,24675,18333.0,0
JHAPA,42,36068,19327,29667.0,32457.0,62124.0,5241.0,0.0,1447.0,1115.0,1425.0,9.0,9237.0,0.0,0.0,0.0,199044,3200,28610,258,28868,370,36,13.0,0
JUMLA,6769,6206,585,2554.0,507.0,3061.0,106.0,240.0,202.0,16.0,29.0,0.0,593.0,0.0,0.0,0.0,2605,303,450,21,471,959,72530,53889.0,545
KAILALI,0,27758,41103,27905.0,36677.0,64582.0,5962.0,71.0,1480.0,469.0,1303.0,4.0,9289.0,0.0,0.0,0.0,277409,3418,16928,275,17203,0,21267,15801.0,0
